Language,custom_word
de,der
de,die
de,das
de,dem
de,den
de,es
de,auf
de,ist
de,sind
de,kann
de,nach
de,zu
de,zum
de,mit
de,wird
de,eine
de,im
de,sich
en,et
en,al
en,et al
